Protein	X10_pain.Area	X11_pain.Area	X12_pain.Area	X1_pain.Area	X2_pain.Area	X3_pain.Area	X5_pain.Area	X6_pain.Area	X7_pain.Area	X8_pain.Area	X9_pain.Area	X10_OC.Area	X11_OC.Area	X12_OC.Area	X1_OC.Area	X2_OC.Area	X3_OC.Area	X4_OC.Area	X5_OC.Area	X6_OC.Area	X8_OC.Area	X9_OC.Area	X10_UTI.Area	X11_UTI.Area	X1_UTI.Area	X2_UTI.Area	X3_UTI.Area	X4_UTI.Area	X5_UTI.Area	X6_UTI.Area	X7_UTI.Area	X8_UTI.Area	X9_UTI.Area	nFragment	nPeptide
Q53RD9	1.05132e+008	1.28243e+008	1.11721e+008	1.6031e+008	7.59025e+007	1.00088e+008	8.45143e+007	2.03705e+008	1.30546e+007	1.09127e+008	3.18771e+007	4.70283e+007	2.00154e+007	7.31629e+007	1.10956e+008	6.73731e+007	8.24545e+007	5.28905e+006	3.71879e+007	8.73325e+007	2.25152e+007	6.66121e+007	3.33807e+007	7.75708e+007	3.3257e+007	1.61694e+008	7.58009e+006	1.24818e+007	1.6318e+007	5.44534e+006	4.75931e+007	4.56267e+007	2.72255e+007	38	3
Q562R1	6.61966e+008	1.36832e+009	2.98009e+008	7.71353e+008	4.09448e+008	1.18306e+008	3.48557e+008	1.89816e+008	1.54976e+009	2.36593e+008	2.00109e+008	3.38916e+008	2.53597e+009	1.02355e+009	1.66518e+009	7.62906e+008	1.45206e+009	7.35653e+008	9.77307e+008	6.81949e+008	2.2026e+008	1.46143e+009	3.43913e+009	4.75112e+008	2.51286e+009	6.0306e+008	3.47439e+008	2.09333e+009	5.36926e+009	3.35175e+008	1.83527e+009	1.27997e+009	8.34328e+008	62	5
Q58FF3	8.96293e+006	1.91861e+007	2.03458e+007	3.00194e+007	4.45405e+007	2.67942e+007	4.28526e+006	1.31624e+007	1.28788e+007	5.20598e+006	1.83495e+007	589439	3.25711e+007	1.2679e+007	2.73969e+007	3.02734e+007	2.43582e+007	1.08954e+007	7.78879e+006	3.46949e+006	805638	2.03253e+007	4.85899e+007	8.82484e+006	3.97245e+007	4.12841e+007	6.86437e+006	2.64397e+007	6.1053e+007	1.61932e+006	7.70386e+006	1.64401e+007	2.04745e+007	11	1
Q58FF6	1.11055e+007	4.64252e+006	2.3919e+006	1.4705e+006	7.97643e+006	5.22234e+006	1.83568e+006	539599	3.17677e+006	432171	4.31641e+006	6.20258e+006	2.28964e+007	1.01684e+007	1.18797e+007	7.41266e+006	1.76855e+007	1.36624e+006	5.47877e+006	1.07002e+007	493267	8.32756e+006	1.2237e+007	1.05404e+007	4.78707e+007	3.83017e+006	7.73535e+006	1.12249e+007	1.04523e+007	8.45169e+006	9.98854e+006	1.1267e+007	1.74808e+006	12	1
Q58FF7	5.79804e+007	6.7e+007	2.21112e+007	2.76153e+007	4.69005e+007	8.66191e+006	2.25381e+007	2.07005e+007	6.40449e+007	2.4036e+007	1.16211e+007	1.01933e+007	1.05814e+008	7.45427e+007	1.11332e+008	4.79947e+007	9.35175e+007	5.85024e+007	5.91372e+007	4.45787e+007	1.80362e+007	1.01129e+008	9.41399e+007	2.62079e+007	2.05593e+008	2.25077e+007	1.62403e+007	1.31999e+008	3.44724e+008	9.0364e+006	7.63243e+007	1.15861e+008	4.83978e+007	23	2
Q58FF8	1.05128e+008	1.99848e+008	9.0315e+007	7.94836e+007	1.12957e+008	2.38179e+007	5.2676e+007	3.49349e+007	1.81768e+008	3.68903e+007	3.23196e+007	4.78975e+007	3.03848e+008	1.9015e+008	1.41701e+008	1.23056e+008	1.9713e+008	1.75542e+008	2.01797e+008	1.41726e+008	2.46924e+007	2.15629e+008	2.12163e+008	5.02598e+007	6.41514e+008	3.95236e+007	3.57605e+007	2.05042e+008	3.66751e+008	1.04863e+007	1.3211e+008	9.79445e+007	4.4376e+007	39	3
Q58FG0	1.28625e+007	2.25661e+007	3.39186e+006	4.75942e+006	1.20355e+007	607725	3.18458e+006	3.55883e+006	1.08503e+007	2.18859e+006	3.68609e+006	6.33883e+006	3.56487e+007	1.56131e+007	2.99306e+007	1.69343e+007	1.63922e+007	9.77551e+006	1.27916e+007	6.21117e+006	2.13264e+006	2.33501e+007	2.76976e+007	4.62873e+006	9.43122e+007	4.52264e+006	2.88104e+006	2.84332e+007	3.76691e+007	2.9728e+006	3.00995e+007	3.12031e+007	1.65461e+006	13	1
Q58FG1	1.36464e+006	1.96502e+007	251902	2.72873e+006	2.71966e+006	350503	840104	127311	3.58484e+007	291249	287018	864613	1.03476e+007	8.35321e+006	1.33939e+007	4.98996e+006	1.13459e+007	2.8996e+006	1.28956e+006	608940	47878.9	1.90318e+006	2.16677e+007	280310	5.42956e+007	865545	1.61428e+006	1.30307e+007	3.11442e+007	4.31496e+006	1.72908e+007	8.76745e+006	6.62934e+006	13	1
Q5D862	8.71179e+006	9.52423e+006	156835	3.01479e+006	668251	2.1123e+006	539512	549908	7.89292e+006	69928.4	2.10467e+006	2.7318e+007	4.5882e+006	3.50134e+006	4.23094e+007	5.62487e+006	7.99876e+006	201694	2.57999e+006	6.03841e+006	3.1294e+007	2.43498e+007	3.70799e+006	8.01139e+006	1.52153e+007	7.21305e+006	1.07929e+007	4.05806e+006	7.13441e+006	2.46847e+006	9.45124e+006	8.93474e+006	1.57354e+007	13	1
Q5FYA8	4.43115e+006	2.61319e+007	361988	2.72112e+006	3.0045e+006	3.31324e+006	5.11244e+006	1.78331e+006	1.07341e+007	1.06798e+006	4.12305e+006	2.31408e+006	4.89041e+006	1.39282e+006	9.73849e+006	3.69316e+006	2.39368e+006	2.89948e+006	2.95901e+006	217301	3.87532e+006	859906	3.45104e+006	1.59084e+006	3.57994e+006	1.75676e+006	2.87866e+006	1.0032e+007	1.61956e+007	1.54806e+007	2.16161e+007	4.51299e+006	1.71157e+007	11	1
Q5IJ48	11228.9	5.82678e+006	3.56766e+006	2.1443e+006	6.1286e+006	680729	982158	633136	63798.5	374597	1.21317e+006	5.15162e+006	2.03609e+006	407847	1.47655e+006	2.0136e+006	1.40564e+006	212704	329260	610684	1.364e+006	839435	731153	825179	545343	1.78525e+006	138057	525404	217225	7364.16	2.94788e+006	65033.9	1.26391e+006	12	1
Q5JRA6	1.2685e+007	1.83347e+007	2.57815e+007	2.72235e+007	2.47413e+007	5.82661e+007	2.43985e+007	3.05518e+007	891788	1.99944e+007	8.72739e+006	2.80892e+007	1.53881e+007	2.70102e+007	8.29487e+006	2.02905e+007	4.18942e+007	1.42111e+007	4.54887e+006	1.70027e+007	7.1094e+006	2.50185e+007	3.38349e+007	1.66004e+007	3.45792e+006	2.45236e+007	1.55133e+006	6.88477e+006	1.65767e+007	3.99254e+006	1.36682e+007	1.46645e+007	1.69528e+007	26	2
Q5JS37	4.44221e+007	5.15854e+007	5.8246e+007	4.08134e+007	1.6817e+008	7.6915e+006	3.95323e+007	3.69195e+007	3.02467e+006	1.93315e+007	4.82619e+007	2.75126e+007	2.84065e+007	4.65919e+006	1.4422e+007	6.04604e+007	1.8867e+007	2.84932e+006	3.27302e+006	1.75488e+007	2.91638e+007	1.52301e+007	2.39977e+007	3.60121e+007	8.53455e+006	7.10898e+007	9.10472e+006	6.11582e+007	2.32785e+007	1.68537e+007	4.58011e+007	1.19406e+007	8.20729e+006	26	2
Q5JTV8	3.81283e+007	1.39267e+006	317040	491990	2.24385e+007	134509	2.60831e+007	1.8451e+006	504549	4.65475e+006	2.79913e+007	4.5785e+006	3.08598e+006	5.59928e+006	8.0924e+006	21800.7	3.94261e+006	258834	3.04619e+006	1.92806e+006	1.39262e+006	466773	2.89357e+006	2.61816e+006	8.24297e+006	1.35817e+006	3.75559e+006	258176	4.10779e+007	6.42822e+006	1.56525e+006	3.35398e+006	205403	9	1
Q5JWF2	1.06143e+007	6.77084e+007	3.00738e+007	1.20497e+008	5.49109e+007	2.8984e+007	3.17286e+007	2.00781e+007	1.99578e+007	9.69965e+006	1.08141e+007	4.06451e+007	5.36217e+007	5.49252e+007	5.99487e+007	3.59385e+007	2.6037e+007	1.66578e+007	1.23271e+007	7.92778e+006	1.28245e+007	7.80166e+007	4.44193e+007	2.83477e+007	4.9343e+007	4.65813e+007	2.35187e+007	5.54358e+007	1.55204e+008	9.04877e+007	5.14477e+007	2.46042e+007	5.37574e+007	33	3
Q5JZY3	1.23802e+007	4.1874e+007	1.89691e+007	5.25828e+007	4.9762e+007	2.09269e+007	2.45048e+007	4.14538e+007	3.12804e+006	9.17153e+006	9.78602e+006	1.44651e+007	2.32684e+007	2.52819e+007	5.06432e+007	1.69339e+007	2.1153e+007	6.0084e+007	9.84387e+006	5.3947e+006	8.13933e+006	1.86096e+007	1.47902e+007	3.64896e+007	2.62044e+007	5.32935e+007	1.42024e+007	1.59741e+007	1.21601e+007	1.81625e+006	1.3769e+007	8.82337e+006	1.80504e+007	39	4
Q5KU26	9.4802e+006	1.0265e+006	5.76527e+006	7.78037e+006	1.23981e+006	1.19715e+006	2.84214e+006	6.65102e+006	9.23395e+006	2.42098e+007	693196	2.62178e+006	566423	5.40607e+006	2.07488e+006	2.0316e+007	350368	4.42648e+006	1.16481e+007	3.29169e+006	2.47727e+006	416403	2.54973e+006	1.1659e+007	696683	4.53313e+006	2.76335e+006	4.11949e+006	1.17657e+007	323219	2.41197e+006	872934	943224	12	1
Q5QNW6	1.56014e+007	1.87461e+007	3.35327e+007	5.89752e+006	1.48323e+007	1.74622e+007	4.77395e+006	3.92604e+006	1.76214e+008	1.77944e+007	8.66306e+006	2.4407e+007	6.51694e+007	1.54675e+007	5.48565e+007	8.45359e+006	5.86176e+007	4.12066e+007	2.54779e+007	7.39652e+007	2.13481e+007	3.40748e+007	1.66884e+008	5.90051e+007	2.59165e+008	2.84904e+007	5.38629e+006	8.54732e+007	2.25489e+008	2.96011e+006	1.8696e+008	2.25364e+008	3.07246e+007	45	5
Q5R3I4	3.13061e+006	1.09583e+006	216880	182723	387025	628657	436228	6594.4	9.04356e+007	217303	41435.6	2.73106e+006	1.1615e+007	1.18909e+007	3.1675e+006	104350	1.6433e+006	39853.3	4.09429e+007	856877	2.53941e+006	1.00682e+006	2.49079e+006	513980	240528	284724	1.09972e+006	6.04437e+008	2.90044e+006	1.73575e+006	4.0733e+006	1.64665e+006	2.71833e+006	11	1
Q5SSG8	1.60431e+007	721915	617138	268601	2169.17	155355	1.43294e+006	331151	3.71066e+007	1.32654e+007	58874.6	5.98019e+006	4.50076e+007	2.53485e+007	9.75777e+006	2.37197e+006	1.97593e+007	3.35623e+007	3.08814e+007	2.67458e+007	3.968e+006	4.86633e+007	5.66876e+007	1.16667e+007	1.06599e+007	146612	4.85883e+006	7.95403e+006	1.37635e+007	134819	582624	3.25998e+006	1.10294e+006	13	1
Q5SSJ5	7886.09	140458	0	306016	322038	2799.78	240513	12921.7	0	85088.3	2638.37	2420.81	1.45865e+006	567441	2.33035e+006	37449.6	284196	0	200951	458585	32608.5	216583	1.2292e+006	130006	1.07299e+007	85276.6	27861.5	26307.1	9.93504e+006	1.32292e+007	4.27467e+006	2.70372e+006	325311	5	1
Q5SZK8	1.65721e+007	4.96656e+007	2.92232e+007	6.82122e+007	6.02063e+007	3.12676e+007	5.832e+007	5.6302e+007	9.7495e+006	1.01549e+007	1.45273e+007	5.82528e+007	4.21293e+007	6.53347e+007	7.94033e+007	4.24311e+007	4.16866e+007	4.67191e+006	6.6913e+006	8.98825e+006	9.70431e+006	4.85471e+007	4.3147e+007	5.92338e+007	1.28155e+007	6.8468e+007	3.62845e+007	1.39028e+007	5.14146e+007	9.34361e+006	5.55084e+007	8.52497e+006	1.63237e+007	48	4
Q5T2W1	1.64754e+007	2.53834e+007	2.45345e+007	1.91758e+007	2.66647e+007	1.21814e+007	2.78062e+007	1.68626e+007	1.18728e+007	8.78332e+006	1.1523e+007	5.24669e+007	1.75723e+007	1.81393e+007	1.46306e+007	2.12702e+007	7.25188e+006	1.72815e+007	2.25702e+007	2.90111e+006	4.0248e+007	1.09082e+007	1.73333e+006	2.44943e+007	1.73437e+006	6.35393e+006	138048	1.12059e+007	6.47151e+006	1.76752e+006	4.69467e+006	1.64531e+006	9.6362e+006	21	2
Q5TFQ8	3.19431e+008	4.02883e+008	6.63452e+008	4.73944e+008	3.88569e+008	1.38842e+008	4.78437e+008	6.07726e+008	2.73297e+007	5.02517e+008	2.26733e+008	1.36666e+008	1.40437e+008	2.82756e+008	4.10461e+008	5.38963e+008	2.28279e+008	3.41351e+007	4.63326e+007	1.51078e+008	1.35985e+008	1.96898e+008	1.75571e+008	4.07141e+008	9.61131e+007	5.65729e+008	3.1102e+007	1.88697e+008	1.98413e+008	4.37175e+008	1.85234e+008	4.64474e+007	2.61031e+008	59	5
Q5THJ4	4.38657e+008	2.51459e+008	1.61047e+009	3.43546e+008	3.47177e+008	2.19286e+008	4.30059e+008	3.19743e+008	4.91968e+008	5.3012e+008	2.72954e+008	2.35978e+008	2.20652e+008	3.87463e+008	2.59661e+008	3.92019e+008	1.82647e+008	6.15255e+009	7.94731e+008	1.35204e+009	1.02127e+009	1.56172e+008	1.38871e+008	3.4917e+008	1.96533e+008	2.62675e+008	1.28869e+008	9.75963e+008	1.57058e+008	1.67024e+008	2.15229e+008	2.20008e+008	2.0785e+008	11	1
Q5UCC4	248062	1.26581e+006	4.35116e+006	3.7246e+006	905418	3.00523e+006	3.34593e+006	6.49223e+006	919414	1.6365e+006	288724	1.03972e+006	1.84456e+006	3.8631e+006	4.81121e+006	3.2609e+006	736422	286245	627085	2.63894e+006	254470	2.75414e+006	1.34484e+006	1.27626e+006	2.40171e+006	4.32091e+006	171611	2.95689e+006	3.64857e+006	762847	626747	928914	6.00819e+006	8	1
Q5VSP4	4.67413e+007	1.47852e+007	2.16905e+008	2.05961e+007	4.10342e+007	1.82538e+007	3.6216e+007	3.1477e+007	1.68182e+007	7.54555e+007	8.96498e+007	2.80234e+007	2.53188e+006	4.69843e+007	1.2552e+007	2.02964e+007	1.6399e+007	5.66299e+007	3.67802e+007	9.58825e+007	1.47925e+007	5.76765e+006	7.4387e+006	7.84273e+007	1.16651e+007	6.37014e+007	6.17986e+006	1.46361e+007	3.20274e+006	1.28306e+007	2.71304e+007	9.55378e+006	6.76607e+006	13	1
Q5VT66	1.40952e+006	3.91833e+006	1.18101e+006	7.1729e+006	2.76257e+006	359943	4.21268e+006	6.22943e+006	8.69522e+006	35372.3	65698.1	1.46951e+006	7.42485e+006	2.04937e+006	6.3012e+006	2.74537e+006	3.36277e+006	1.87269e+007	1.87686e+006	255661	1.17746e+007	5.04486e+006	3.41758e+006	4.4484e+006	2.31111e+006	1.5506e+006	78904.9	1.69127e+007	9.58821e+006	6.04372e+007	1.47834e+006	1.00812e+007	1.17206e+006	13	1
Q5VT79	2.27233e+007	945507	329309	1.07713e+006	139374	88947	1.09772e+006	268310	7.10312e+006	91261.8	18227.3	103753	7.34404e+007	2.25991e+007	1.64407e+007	879073	2.50248e+007	77695.8	1.13874e+006	74152.1	104170	2.71866e+006	2.86734e+007	1.38836e+006	2.62153e+006	360543	1.85525e+006	8.28814e+006	1.23934e+007	1.08677e+007	513586	325120	3.55755e+006	21	3
Q5VTE0	4.4508e+008	6.53553e+008	1.59202e+008	2.35662e+008	3.06994e+008	4.49693e+007	1.45252e+008	8.70359e+007	8.12766e+008	8.63014e+007	5.52127e+007	1.69741e+008	1.12772e+009	9.4438e+008	4.35248e+008	4.32513e+008	7.76257e+008	6.2206e+008	5.90371e+008	4.35011e+008	1.28468e+008	8.11723e+008	8.59408e+008	1.02998e+008	1.13571e+009	9.00011e+007	1.31151e+008	7.50169e+008	4.63349e+008	2.9246e+007	4.38667e+008	3.07158e+008	1.36146e+008	63	5
Q5VW32	26935.1	144887	0	4.276e+006	1.9494e+006	168845	524295	94651.5	0	0	11213.6	301430	3109.78	1.74917e+006	1.92832e+007	919530	1.6471e+006	0	0	0	297508	2.43403e+006	1.95685e+006	9686.95	884844	8.4047e+006	0	0	6.095e+006	6.12734e+006	9.27315e+006	220410	8.07822e+006	10	1
Q5VYK3	5.34866e+007	4.55172e+007	5.04649e+007	6.3582e+006	6.62847e+007	7.72587e+006	3.41292e+006	2.94914e+006	1.50417e+006	1.95135e+007	1.68601e+007	2.09326e+007	9.32904e+006	2.45307e+006	7.08058e+007	2.11187e+007	3.87685e+006	476003	4.19474e+006	2.03065e+007	1.29009e+006	1.6955e+006	1.82828e+007	5.03903e+007	6.62883e+006	3.25423e+007	6.68425e+006	3.84731e+006	2.29994e+006	2.06881e+006	1.31791e+006	1.43598e+007	6.13294e+006	13	1
Q5XKE5	7.21795e+008	3.83308e+008	1.48931e+008	8.39374e+007	1.14628e+008	5.5501e+007	1.39693e+008	8.54655e+007	4.58809e+009	1.31254e+008	1.0889e+008	1.34859e+008	3.51751e+009	2.35511e+009	8.57798e+008	1.2193e+009	1.49593e+009	1.48665e+009	2.61588e+009	1.62911e+009	2.33798e+008	1.27243e+009	3.3782e+009	1.6062e+008	8.56078e+008	7.44686e+007	1.10099e+008	2.67809e+009	2.83313e+009	2.84787e+007	2.54867e+008	1.80025e+008	1.52981e+008	63	5
Q5XPI4	4.17885e+006	4.64549e+006	3.77823e+006	7.05196e+006	1.22724e+007	1.59215e+006	1.79248e+006	4.3912e+006	7.58156e+007	8.75857e+006	4.50811e+006	3.47408e+006	4.35126e+007	1.68011e+007	1.75093e+007	5.77603e+006	1.54308e+006	8.96635e+006	8.15926e+006	1.5052e+007	3.84003e+006	2.59457e+006	1.02261e+007	3.36914e+007	1.84029e+007	6.00795e+006	1.14119e+007	1.09358e+007	2.66505e+007	1.41886e+006	1.369e+007	1.75525e+008	9.08779e+006	13	1
Q5ZPR3	1.15639e+006	5.83046e+006	9.12624e+006	2.2321e+006	616960	2.87104e+006	8.55918e+006	8.05904e+006	593749	9.22164e+006	293366	1.5478e+006	5.9108e+006	8.06572e+006	1.76897e+006	9.17115e+006	1.54466e+006	461615	4.58422e+006	4.81936e+006	4.89982e+006	1.47875e+006	3.74402e+006	1.58517e+006	413253	6.54862e+006	2.01523e+006	2.41935e+007	862096	1.9432e+006	612856	67424.5	2.06441e+006	11	1
Q66K79	2.61374e+007	1.50964e+008	6.15449e+007	1.22685e+008	6.06959e+007	5.67611e+007	2.21759e+008	1.04681e+008	8.82231e+006	4.91133e+007	1.21679e+007	2.94144e+007	2.01507e+007	2.70394e+007	1.93983e+007	2.64859e+007	4.02635e+007	6.52323e+006	6.24405e+006	4.20298e+007	3.38614e+007	3.47809e+007	1.31258e+007	1.30613e+007	1.88675e+007	1.64192e+008	5.67588e+006	3.97243e+007	1.79064e+007	2.29903e+006	3.27207e+007	6.54547e+006	5.21032e+007	40	4
